file_path,folder,label,duration_seconds
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_1.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_10.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_11.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_12.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_13.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_14.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_15.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_2.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_3.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_4.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_5.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_6.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_7.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_8.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_bag_zipper\distractor_bag_zipper_9.wav,distractor_bag_zipper,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_1.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_10.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_11.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_12.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_13.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_14.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_15.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_2.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_3.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_4.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_5.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_6.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_7.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_8.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_chair\distractor_chair_9.wav,distractor_chair,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_coughs_colds\distractor_coughs_colds_1.wav,distractor_coughs_colds,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_coughs_colds\distractor_coughs_colds_10.wav,distractor_coughs_colds,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_coughs_colds\distractor_coughs_colds_11.wav,distractor_coughs_colds,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_coughs_colds\distractor_coughs_colds_12.wav,distractor_coughs_colds,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_coughs_colds\distractor_coughs_colds_13.wav,distractor_coughs_colds,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_coughs_colds\distractor_coughs_colds_14.wav,distractor_coughs_colds,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_coughs_colds\distractor_coughs_colds_15.wav,distractor_coughs_colds,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_coughs_colds\distractor_coughs_colds_16.wav,distractor_coughs_colds,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_coughs_colds\distractor_coughs_colds_2.wav,distractor_coughs_colds,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_coughs_colds\distractor_coughs_colds_3.wav,distractor_coughs_colds,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_coughs_colds\distractor_coughs_colds_4.wav,distractor_coughs_colds,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_coughs_colds\distractor_coughs_colds_5.wav,distractor_coughs_colds,distractor,9.98
C:\Users\Leslie\Thesis\whisper_project\distractor_coughs_colds\distractor_coughs_colds_6.wav,distractor_coughs_colds,distractor,9.98
